WeekDate,Lesson,Class,Teacher,Subject
Fri,3,12A10,T,Thế chất
Fri,3,12A11,T,Thế chất
Fri,3,12A12,D,Toán
Fri,3,12A13,X,Công nghệ & hướng nghiệp
Fri,3,12A14,I,Lý
Fri,3,12A15,T,Thế chất
Fri,4,12A1,X,Công nghệ & hướng nghiệp
Fri,4,12A2,R,Nghệ thuật
Fri,4,12A3,O,Anh
Fri,4,12A4,X,Công nghệ & hướng nghiệp
Fri,4,12A5,S,GDCD
Fri,4,12A6,R,Nghệ thuật
Fri,4,12A7,Q,Tin học
Fri,4,12A8,H,Văn
Fri,4,12A9,P,Anh
Fri,4,12A10,G,Văn
Fri,4,12A11,L,Hóa
Fri,4,12A12,I,Lý
Fri,4,12A13,R,Nghệ thuật
Fri,4,12A14,N,Sinh
Fri,4,12A15,X,Công nghệ & hướng nghiệp
Fri,5,12A1,D,Toán
Fri,5,12A2,C,Toán
Fri,5,12A3,S,GDCD
Fri,5,12A4,X,Công nghệ & hướng nghiệp
Fri,5,12A5,T,Thế chất
Fri,5,12A6,N,Sinh
Fri,5,12A7,O,Anh
Fri,5,12A8,R,Nghệ thuật
Fri,5,12A9,O,Anh
Fri,5,12A10,O,Anh
Fri,5,12A11,S,GDCD
Fri,5,12A12,U,Sử
Fri,5,12A13,F,Văn
Fri,5,12A14,N,Sinh
Fri,5,12A15,Q,Tin học
Fri,6,12A1,P,Anh
Fri,6,12A2,M,Hóa
Fri,6,12A3,X,Công nghệ & hướng nghiệp
Fri,6,12A4,G,Văn
Fri,6,12A5,T,Thế chất
Fri,6,12A6,Q,Tin học
Fri,6,12A7,V,Địa
Fri,6,12A8,U,Sử
Fri,6,12A9,N,Sinh
Fri,6,12A10,C,Toán
Fri,6,12A11,M,Hóa
Fri,6,12A12,N,Sinh
Fri,6,12A13,G,Văn
Fri,6,12A14,C,Toán
Fri,6,12A15,D,Toán
Fri,7,12A1,T,Thế chất
Fri,7,12A2,E,Văn
Fri,7,12A3,H,Văn
Fri,7,12A4,U,Sử
Fri,7,12A5,F,Văn
Fri,7,12A6,V,Địa
Fri,7,12A7,Q,Tin học
Fri,7,12A8,C,Toán
Fri,7,12A9,K,Lý
Fri,7,12A10,V,Địa
Fri,7,12A11,P,Anh
Fri,7,12A12,P,Anh
Fri,7,12A13,D,Toán
Fri,7,12A14,D,Toán
Fri,7,12A15,N,Sinh
Fri,8,12A1,I,Lý
Fri,8,12A2,O,Anh
Fri,8,12A3,L,Hóa
Fri,8,12A4,N,Sinh
Fri,8,12A5,L,Hóa
Fri,8,12A6,H,Văn
Fri,8,12A7,L,Hóa
Fri,8,12A8,P,Anh
Fri,8,12A9,T,Thế chất
Fri,8,12A10,V,Địa
Fri,8,12A11,H,Văn
Fri,8,12A12,H,Văn
